"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"GB_GCA_023139255.1",0.435979950117774,-0.281218099424127,-0.17599489495396,-0.159951377713701,-1.52703442067289,-0.0675212587599673,-1.47428165014622,0.172619774631529,-0.039784841669662,0.398360856296755,-0.182005615203353,0.0337261374087226,-0.134079427040721,0.060548285587303,0.105888997454554,0.0937404652676221,0.235427193989656,-0.0244733784281791
"GB_GCA_022703505.1",0.466015994180805,-0.253003158096079,-0.261128717606512,0.322314171356018,0.0263408296645352,0.0893396342813985,0.548610385836367,-0.23841648360847,0.518587401035686,-0.294813614372002,0.125290149023504,-0.0248916699447803,-0.20188393962367,0.14640685751566,-0.176545030078343,-0.226427396785201,0.277256613656572,-0.088265629600129
"GB_GCA_007693945.1",0.349650682647299,-0.294476992730853,0.394324072201344,0.0917472651772808,-0.223448036620575,0.140840535453409,0.755820932973056,-0.0362178669828455,-0.122598279207021,-0.304351966209731,0.408808650429563,-0.060355797188585,-0.16160280393987,0.0204169148088943,0.398138351392754,-0.103098281915356,0.342667823420398,-0.090006707194642
"GB_GCA_002069965.1",0.557723691118558,-0.224406075507064,0.0347373710870823,-0.168705866465481,1.11621327622708,-0.226502337295085,0.194155788786249,0.200891913248868,-0.410271171611318,0.345729092189408,-0.133853154411199,-0.14878255893469,-0.185971960803871,0.112202362838558,0.0190774436383663,0.0291797380163683,0.259417321074139,-0.0759743084178074
"GB_GCA_002839375.1",0.557723691118558,-0.224406075507064,0.0347373710870823,-0.168705866465481,1.11621327622708,-0.226502337295085,0.194155788786249,0.200891913248868,-0.410271171611318,0.345729092189408,-0.133853154411199,-0.14878255893469,-0.185971960803871,0.112202362838558,0.0190774436383663,0.0291797380163683,0.259417321074139,-0.0759743084178074
"RS_GCF_000266885.1",0.021667497616255,-0.391792249548349,0.482598174425516,0.248286122225788,-0.201475974691678,0.250894282830855,0.792521791977543,0.0617871324281824,-0.175621184090337,-0.378175321067893,-0.0752379616809864,0.21242581049404,0.320403527326568,-0.27105490001439,0.354025164040308,-0.24699164247538,0.460203465704047,-0.0382453183253918
"RS_GCF_016919175.1",-0.722496588902546,-0.550405451717799,0.40228925449243,0.280632109231868,-0.119071623583044,0.23892366217318,0.806060535287214,-0.0712560211922073,0.555266239019679,0.0847354984419653,0.385932694202144,-0.343035313431573,0.622691389545163,-0.272979044617092,-0.220450996610249,-0.516223437487618,0.391384582412098,-0.038603905521059
"RS_GCF_006874765.1",0.349650682647299,-0.294476992730853,0.394324072201344,0.0917472651772808,-0.223448036620575,0.140840535453409,0.755820932973056,-0.0362178669828455,-0.122598279207021,-0.304351966209731,0.408808650429563,-0.060355797188585,-0.16160280393987,0.0204169148088943,0.398138351392754,-0.103098281915356,0.342667823420398,-0.090006707194642
"RS_GCF_000243695.2",0.349650682647299,-0.294476992730853,0.394324072201344,0.0917472651772808,-0.223448036620575,0.140840535453409,0.755820932973056,-0.0362178669828455,-0.122598279207021,-0.304351966209731,0.408808650429563,-0.060355797188585,-0.16160280393987,0.0204169148088943,0.398138351392754,-0.103098281915356,0.342667823420398,-0.090006707194642
"RS_GCF_002150035.1",-0.503313338584874,-0.482245714320566,-0.0319209938092259,0.0990075692974906,-0.0203675634459716,0.201473611942151,0.68343422372809,-0.17951275016854,0.657558944696243,-0.0157551335864706,-0.0612758323386183,-0.430186170168986,0.641175187348397,-0.136672687933455,-0.708783776211187,-0.384561170290404,0.351073346288605,-0.0267137751459428
